T,auto_accepted_n,auto_accepted_pct,auto_accepted_accuracy,auto_accepted_accuracy_ci,escalated_n,escalated_pct,escalated_accuracy_model_would_have_given,projected_total_accuracy_assuming_human_at_0_95,analyst_burden_saved_pct
0.0,15000,1.0,0.6998,"[0.6923, 0.7071]",0,0.0,,0.6998,1.0
0.02,14705,0.9803,0.7043,"[0.697, 0.7123]",295,0.0197,0.4746,0.7091,0.9803
0.05,14272,0.9515,0.7129,"[0.7054, 0.7204]",728,0.0485,0.4423,0.7244,0.9515
0.1,13605,0.907,0.725,"[0.7178, 0.7327]",1395,0.093,0.4545,0.7459,0.907
0.12,13379,0.8919,0.7302,"[0.723, 0.7377]",1621,0.1081,0.4485,0.754,0.8919
0.15,12965,0.8643,0.7384,"[0.731, 0.7463]",2035,0.1357,0.4536,0.7671,0.8643
0.2,12293,0.8195,0.7517,"[0.744, 0.7592]",2707,0.1805,0.464,0.7875,0.8195
0.3,11115,0.741,0.7799,"[0.7726, 0.7876]",3885,0.259,0.4705,0.824,0.741
0.5,8517,0.5678,0.8463,"[0.8386, 0.8541]",6483,0.4322,0.5073,0.8911,0.5678
